observationId,fieldRA,fieldDec,observationStartMJD,flush_by_mjd,visitExposureTime,filter,rotSkyPos,rotSkyPos_desired,numExposures,airmass,seeingFwhm500,seeingFwhmEff,seeingFwhmGeom,skyBrightness,night,slewTime,visitTime,slewDistance,fiveSigmaDepth,altitude,azimuth,paraAngle,cloud,moonAlt,sunAlt,note,target,fieldId,proposalId,block_id,observationStartLST,rotTelPos,rotTelPos_backup,moonAz,sunAz,sunRA,sunDec,moonRA,moonDec,moonDistance,solarElong,moonPhase,cummTelAz,scripted_id
10,201.3234371042998,-6.4339383343170775,2025-05-01 00:08:14.255430656,60796.043692129635,30.0,r,167.09333289897944,0.0,2,1.6710233559461176,0.6662519288362521,1.1848501419144863,1.0259468166537078,20.80962834502503,0,4.392332078748671,34.0,3.033276420157051,23.719356755348514,36.757943512744355,74.12102014463323,236.73963486997468,0.125,3.3282449467836743,-26.359647764797494,"blob_long, gr, a",,-1,10,1,150.49287306760667,43.83296776895414,0.0,306.73991850950176,272.7173282840263,38.11335118101038,14.978761389848305,83.77137666825236,29.103697407626093,117.13644458228552,161.43771192793162,24.612836640194644,74.93890937983387,0
11,201.0513530828443,-3.449841725452841,2025-05-01 00:08:52.616980736,60796.043692129635,30.0,r,169.03224878437368,0.0,2,1.7247866275125183,0.6662519288362521,1.2075778508347357,1.0446289933861526,20.791833845645893,0,4.361550284758325,34.0,2.9963804707113058,23.684151506521857,35.43520133746403,70.76755767446645,234.80071898458044,0.125,3.2222169419426683,-26.4974857578527,"blob_long, gr, a",,-1,11,1,150.65315048664644,43.83296776895414,0.0,306.65724485488744,272.640140515196,38.1137751339821,14.97889632656727,83.7776103741687,29.10291242859869,115.39969035180425,159.61640373422784,24.615528832640987,71.69472581846429,0
12,200.78242919900373,-0.4912631085613531,2025-05-01 00:09:30.948562176,60796.043692129635,30.0,r,170.85060490855568,0.0,2,1.7865431154830096,0.6662519288362521,1.233337719553045,1.065803605472603,20.781241845020155,0,4.331581974105718,34.0,2.970758466978205,23.64880504808521,34.03783271658772,67.55125840201445,232.98236286039844,0.125,3.1161534981444996,-26.635233162181226,"blob_long, gr, a",,-1,12,1,150.81330269440178,43.83296776895414,0.0,306.574789813318,272.56295229513825,38.11419875618262,14.979031157053537,83.78384552312482,29.10212642087662,113.628976123665,157.569231486899,24.618221903883825,68.59178234937855,0
13,200.53000294980538,2.452827663270973,2025-05-01 00:10:09.304916480,60796.043692129635,30.0,r,172.55093806917182,0.0,2,1.8583133226871176,0.6662519288362521,1.262831124184604,1.0900471840797445,20.769946751371243,0,4.356354355003944,34.0,2.9548869328734635,23.60914200314582,32.55591280257037,64.46763016163843,231.2820296997823,0.125,3.0099031695434877,-26.773086692272166,"blob_long, gr, a",,-1,13,1,150.973558405286,43.83296776895414,0.0,306.4924354018623,272.48565326312496,38.11462265258948,14.979166073859563,83.79009101835662,29.101338262290994,111.83693700182323,155.36397422396328,24.620919699309376,65.62468082598093,0
14,200.30511377872844,5.390591859640616,2025-05-01 00:10:47.697862912,60796.043692129635,30.0,r,174.13273761993275,0.0,2,1.9425627591232622,0.6662519288362521,1.2968774774074388,1.1180332864289146,20.767525651804135,0,4.392946600218321,34.0,2.9463173378921286,23.56858587293297,30.983010516340045,61.51407661818228,229.70023014902137,0.125,2.903432932096347,-26.911088867318394,"blob_long, gr, a",,-1,14,1,151.13396700042853,43.83296776895414,0.0,306.41015641415464,272.40821931429304,38.11504695382301,14.9793011185566,83.79634879957602,29.100547706034696,110.0340504799434,153.04649357463924,24.623623057378623,62.79011796432503,0
15,200.11629568643795,8.327097269590393,2025-05-01 00:11:26.127430400,60796.043692129635,30.0,r,175.59369904009745,0.0,2,2.0423415587971583,0.6662519288362521,1.3364445296635796,1.1505574033834625,20.75343788322183,0,4.429567848461594,34.0,2.942481910488871,23.517186005425042,29.31653258274577,58.68910402402426,228.2392687288567,0.125,2.7967423663585276,-27.049239840292238,"blob_long, gr, a",,-1,15,1,151.29452860064848,43.83296776895414,0.0,306.327953027318,272.3306500758507,38.11547166020406,14.979436291244022,83.80261888966713,29.09975474680245,108.22896634605347,150.6478706373031,24.626331988681393,60.085799800120164,0
16,203.07061688136622,3.951687864548055,2025-05-01 00:12:04.983994624,60796.043692129635,30.0,r,172.36736005952778,0.0,2,1.9991558550288941,0.7353931014100059,1.4190624663368223,1.218469347328868,20.753337980838705,0,4.856564583432283,34.0,5.2695379967781815,23.457451976243743,30.013968924190667,64.59953946331969,231.46560770942634,0.125,2.6887455289565882,-27.188943290362825,"blob_long, gr, a",,-1,16,1,151.45687422527388,43.83296776895414,0.0,306.2449927929372,272.25215632510793,38.115901085999354,14.979572965020175,83.80896509679013,29.098951299589398,113.11467966714507,155.9054550040122,24.629074065526407,66.11775589191656,0
17,203.29652270288406,0.9655589121446451,2025-05-01 00:12:43.359054848,60796.043692129635,30.0,r,170.9288649283289,0.0,2,1.897957384343227,0.7353931014100059,1.3755152048944044,1.1826734984232004,20.768097576553856,0,4.375060312699299,34.0,2.99464422802296,23.510536818616213,31.79504001362441,67.39424413095038,232.90410284062523,0.125,2.581967734590912,-27.32693279130652,"blob_long, gr, a",,-1,17,1,151.61720809077698,43.83296776895414,0.0,306.1632148588817,272.1745733073379,38.116325190855115,14.97970794433369,83.8152390275623,29.098156153219364,114.94633954044222,158.3406403466123,24.631785169349783,69.02914777805397,0
18,203.5454147074328,-2.030518261819395,2025-05-01 00:13:21.700781824,60796.043692129635,30.0,r,169.3488168329088,0.0,2,1.811893807207004,0.7353931014100059,1.337744474245429,1.1516259578297425,20.77208644153933,0,4.341727131401404,34.0,3.0063942178818324,23.553357822607317,33.49805823637844,70.32396489056961,234.48415093604532,0.125,2.4751643514937034,-27.4648195348175,"blob_long, gr, a",,-1,18,1,151.77740268787986,43.83296776895414,0.0,306.08166086136805,272.0969960603198,38.11674892775507,14.97984280558371,83.82151382560369,29.09736005465136,116.75677218235954,160.65072881663448,24.634496901957334,72.07279313093046,0
19,203.80401650185047,-5.045167551839395,2025-05-01 00:14:00.049171456,60796.043692129635,30.0,r,167.6236985923878,0.0,2,1.7377398278254164,0.7353931014100059,1.3046210282639559,1.1243984852329718,20.78615364030522,0,4.3483898662314875,34.0,3.025675963097291,23.596102126416408,35.131862265815855,73.39404872123038,236.20926917656632,0.125,2.368224093030569,-27.602747337219764,"blob_long, gr, a",,-1,19,1,151.93762512080102,43.83296776895414,0.0,306.00024536163164,272.0193435889937,38.11717273871258,14.979977689449257,83.82779602983045,29.096562175163015,118.53264157943708,162.7721949230623,24.637212088933026,75.25456478580307,0
